game_id,pitcher_id,game_date,side,feature,old_value,new_value,absolute_difference,history_game_ids,history_dates,history_definition,temporal_evidence,reason
"822710","656492","2026-07-08","home","last5StartsBfAvg","24.6","22.8","1.8000000000000007","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last5StartsPitchCountAvg","100","90","10","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","pitchesLast3Starts","300","288","12","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3StartsKs2","2","3","1","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3StartsIp2","3.3","5.333333333333333","2.033333333333333","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3StartsIp3","5.3","3","2.3","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3StartsBf2","16","19","3","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3StartsBf3","19","17","2","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last5StartsBfAvg","19.6","23.2","3.599999999999998","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last5StartsPitchCountAvg","75","82","7","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","pitchesLast3Starts","242","226","16","824741|822740|822753","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3AppearancesKs2","2","1","1","824741|822719|822966","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3AppearancesKs3","3","2","1","824741|822719|822966","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last3AppearancesBf3","19","26","7","824741|822719|822966","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last5AppearancesBfAvg","19.6","22.8","3.1999999999999993","824741|822719|822966","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822712","571945","2026-07-06","home","last5AppearancesPitchCountAvg","75","77.6","2.5999999999999943","824741|822719|822966","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
