game_id,game_date,snapshot_home_pitcher_name,linescore_defense_pitcher_id,independent_pitcher_id,independent_pitcher_name,home_team,snapshot_captured_at,scheduled_start,snapshot_status,minutes_before_scheduled_start,validation_result,reason,identity_id_agreement,identity_name_agreement,source_type,endpoint,source_queried_at,source_has_pregame_as_of_timestamp
"822798","2026-06-24","Trey Yesavage","702056","702056","Trey Yesavage","Toronto Blue Jays","2026-06-24T21:17:14.600Z","2026-06-24T23:07:00.000Z","Pre-Game","109.756667","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-24&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822871","2026-07-21","Kumar Rocker","677958","677958","Kumar Rocker","Texas Rangers","2026-07-21T22:26:32.606Z","2026-07-22T00:05:00.000Z","Pre-Game","98.456567","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-21&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822875","2026-07-11","Kumar Rocker","677958","677958","Kumar Rocker","Texas Rangers","2026-07-11T21:45:38.221Z","2026-07-11T23:05:00.000Z","Pre-Game","79.362983","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-11&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822876","2026-07-12","MacKenzie Gore","669022","669022","MacKenzie Gore","Texas Rangers","2026-07-12T16:55:52.712Z","2026-07-12T18:35:00.000Z","Pre-Game","99.121467","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-12&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822879","2026-07-05","Kumar Rocker","677958","677958","Kumar Rocker","Texas Rangers","2026-07-05T19:21:53.972Z","2026-07-05T19:30:00.000Z","Warmup","8.100467","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-05&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822881","2026-07-07","Jacob deGrom","594798","594798","Jacob deGrom","Texas Rangers","2026-07-07T23:57:31.981Z","2026-07-08T00:05:00.000Z","Warmup","7.466983","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-07&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822882","2026-07-04","Cal Quantrill","615698","615698","Cal Quantrill","Texas Rangers","2026-07-04T19:13:50.245Z","2026-07-04T20:05:00.000Z","Pre-Game","51.162583","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-04&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822884","2026-07-02","Nathan Eovaldi","543135","543135","Nathan Eovaldi","Texas Rangers","2026-07-02T21:55:01.566Z","2026-07-03T00:05:00.000Z","Pre-Game","129.9739","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-02&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822951","2026-07-12","Ian Seymour","693855","693855","Ian Seymour","Tampa Bay Rays","2026-07-12T16:55:56.862Z","2026-07-12T17:40:00.000Z","Pre-Game","44.0523","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-12&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822952","2026-07-24","Shane McClanahan","663556","663556","Shane McClanahan","Tampa Bay Rays","2026-07-24T19:49:08.384Z","2026-07-24T23:10:00.000Z","Pre-Game","200.860267","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-24&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
