game_id,pitcher_id,pitcher_name,game_date,snapshot_captured_at,team,opponent,side,match_status,pregame_identity_source,pitcher_k_pct,pitcher_so_rate,pitcher_swstr_pct,pitcher_csw_pct,pitcher_bb_pct,pitcher_fip,pitcher_xfip,pitcher_siera,pitcher_xera,pitcher_last5_ks_avg,pitcher_last5_ip_avg,pitcher_last5_bf_avg,pitcher_last5_pitch_count_avg,projected_pitches,projected_innings,pitches_last_start,pitches_last_3_starts,days_since_last_start,opponent_lineup_k_pct,opponent_offense_ops,opponent_offense_woba,opponent_offense_xwoba,park_factor_k,weather_temp,weather_wind_speed,projected_strikeouts,actual_k
"822951","693855","Ian Seymour","2026-07-12","2026-07-12T16:55:56.862Z","Tampa Bay Rays","Seattle Mariners","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","28.7","28.7","14.7","33","8.4","3.93","3.18","3","3.21","6.2","4.5","17.6","68","71","4.2","94","267","5","25.1","0.688","0.305","0.291","102","34.8","7.8","4.96","3"
"822952","663556","Shane McClanahan","2026-07-24","2026-07-24T19:49:08.384Z","Tampa Bay Rays","Cleveland Guardians","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","22.5","22.5","12.8","30.1","8.2","3.45","3.52","3.81","4.17","3.8","5.4","22","80","84","5.2","87","241","5","25.8","0.687","0.304","0.294","102","31.6","12.3","5.23","3"
"822954","656876","Drew Rasmussen","2026-07-09","2026-07-09T17:04:56.969Z","Tampa Bay Rays","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25.4","25.4","12.2","29.1","4.5","3.38","2.72","3.13","3.17","6.4","6.2","24","93","96","6.1","77","266","5","23.3","0.732","0.32","0.315","102","34.7","4.7","5.98","2"
"822955","607259","Nick Martinez","2026-07-10","2026-07-10T20:34:24.297Z","Tampa Bay Rays","Seattle Mariners","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","15","15","9.1","26.5","4.4","3.91","3.88","4.37","4.68","3.8","5.9","23.4","85","86","6","85","258","7","29.4","0.691","0.306","0.3","102","32.1","9.8","4.74","1"
"822956","693855","Ian Seymour","2026-07-07","2026-07-07T21:55:13.893Z","Tampa Bay Rays","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","26.1","26.1","14.4","32.6","9.1","4.2","3.51","3.45","3.34","4.75","4.3","16.8","61","66","4.2","83","254","5","22.8","0.735","0.321","0.324","","31.3","7.3","4.48","12"
"822957","663556","Shane McClanahan","2026-07-08","2026-07-08T20:22:10.363Z","Tampa Bay Rays","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.2","23.2","12.9","30.2","8.4","3.38","3.42","3.74","4.28","4.8","4.9","22","76","78","5","69","227","7","22.7","0.735","0.321","0.316","102","33.8","13","5.26","5"
"822958","643377","Griffin Jax","2026-07-06","2026-07-06T22:27:34.399Z","Tampa Bay Rays","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.4","23.4","14.5","31","8.1","4.7","3.23","3.66","5.37","5.2","5.2","20.2","71","72","5.1","71","228","6","21.8","0.737","0.322","0.317","","","","5.04","10"
"822959","656876","Drew Rasmussen","2026-06-28","2026-06-28T17:25:02.982Z","Tampa Bay Rays","Arizona Diamondbacks","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","26.8","26.8","12.4","29.2","4.5","3.08","2.47","2.96","3.08","7.6","6.2","22.8","89","91","","90","289","6","19.1","0.694","0.306","0.312","","33.9","9.4","","5"
"822961","668984","Casey Legumina","2026-06-25","2026-06-25T16:04:39.366Z","Tampa Bay Rays","Kansas City Royals","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","17.3","17.3","10.7","26.7","5.3","3.61","4","4.37","4.55","1","1.7","7","28","20","","19","49","8","24.7","0.717","0.316","0.322","","31.6","12.5","","0"
"822962","607259","Nick Martinez","2026-06-26","2026-06-26T23:01:40.287Z","Tampa Bay Rays","Arizona Diamondbacks","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","15.1","15.1","9.3","26.5","4.7","3.77","3.82","4.35","4.61","3.8","5.9","24.4","81","89","","88","257","5","18.8","0.696","0.307","0.326","","32","10.5","","3"
"822963","663556","Shane McClanahan","2026-06-23","2026-06-23T21:42:00.959Z","Tampa Bay Rays","Kansas City Royals","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24","24","13.3","30.2","9.4","3.02","3.43","3.78","3.91","4.4","4.6","21","78","80","","83","238","6","26.1","0.713","0.315","0.306","","32.2","18","","4"
"822965","643377","Griffin Jax","2026-06-24","2026-06-24T21:17:17.293Z","Tampa Bay Rays","Kansas City Royals","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","22.8","22.8","14.7","30.8","8.9","4.81","3.32","3.8","5.34","4.4","4.2","17","61","61","","69","194","5","25","0.717","0.316","0.326","","31.7","17.4","","7"
"823029","669160","Dustin May","2026-07-12","2026-07-12T16:56:01.163Z","St. Louis Cardinals","Atlanta Braves","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23","23","10.6","29.1","6.5","3.29","3.14","3.61","3.77","5","4.5","18","72","67","4.1","81","159","6","20.8","0.722","0.316","0.321","90","29.6","13","4","4"
"823030","669461","Matthew Liberatore","2026-07-11","2026-07-11T21:45:44.902Z","St. Louis Cardinals","Atlanta Braves","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","21","21","10.5","27.4","9","5.18","3.89","4.05","5.49","4.2","4.3","20.2","78","80","4.1","78","274","6","23","0.724","0.317","0.321","90","26.3","10.8","4.48","6"
"823033","681517","Kyle Leahy","2026-07-10","2026-07-10T20:34:26.942Z","St. Louis Cardinals","Atlanta Braves","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","19.3","19.3","10","26.9","8.7","4.18","3.81","4.33","5.56","5.2","5.5","21.8","81","83","5.2","77","249","6","20.5","0.728","0.319","0.321","90","23.1","19.5","4.74","2"
"823034","669467","Andre Pallante","2026-07-09","2026-07-09T21:01:17.553Z","St. Louis Cardinals","Milwaukee Brewers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","17.6","17.6","9.4","28.4","6.8","4","3.57","4.57","3.7","3.8","6.3","24.8","94","93","6.1","102","285","6","19.4","0.734","0.323","0.339","90","27.5","2.5","4.59","2"
"823035","690928","Hunter Dobbins","2026-07-07","2026-07-07T23:38:15.085Z","St. Louis Cardinals","Milwaukee Brewers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","26","26","11.4","26.8","9.6","4.47","2.85","3.53","5.52","4.5","4.3","19.5","84","79","4","88","227","26","19.5","0.734","0.323","0.334","","30.3","7.9","4.83","4"
"823036","669160","Dustin May","2026-07-06","2026-07-06T23:25:29.891Z","St. Louis Cardinals","Milwaukee Brewers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","22.2","22.2","10.4","29","6.8","3.46","3.29","3.75","3.85","5.4","4.7","19.2","74","66","4.1","34","179","4","22.1","0.735","0.324","0.328","","","","4.12","7"
"823037","681517","Kyle Leahy","2026-06-28","2026-06-28T18:07:36.783Z","St. Louis Cardinals","Miami Marlins","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","18.3","18.3","10","26.9","8.3","4.37","3.83","4.41","5.88","4","5.1","21.8","80","84","","85","243","5","25.4","0.714","0.315","0.319","","32.3","9.4","","5"
"823038","669467","Andre Pallante","2026-06-27","2026-06-27T22:36:58.402Z","St. Louis Cardinals","Miami Marlins","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","18.5","18.5","9.7","29.3","7.2","4.19","3.59","4.5","3.75","4.2","5.5","22.6","86","89","","85","270","5","22.9","0.712","0.315","0.324","","","","","4"
"823039","700241","Michael McGreevy","2026-06-26","2026-06-27T00:07:39.232Z","St. Louis Cardinals","Miami Marlins","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","15.9","15.9","8.4","25","6","4.52","3.75","4.37","5.7","3.2","5.4","23.2","89","89","","95","267","7","25.2","0.713","0.315","0.311","","24.4","4","","4"
"823041","669461","Matthew Liberatore","2026-06-24","2026-06-24T21:17:19.992Z","St. Louis Cardinals","Arizona Diamondbacks","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.9","20.9","10.6","26.7","8.4","5.16","3.73","3.89","5.77","4.8","4.1","18.8","78","70","","48","202","6","15","0.692","0.305","0.327","","28.5","9.4","","3"
"823043","681517","Kyle Leahy","2026-06-23","2026-06-23T23:00:13.253Z","St. Louis Cardinals","Arizona Diamondbacks","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","18.7","18.7","10.2","27.2","8.3","4.47","3.83","4.38","6.07","5","4.9","22","80","81","","81","237","6","18.9","0.693","0.305","0.322","","27.3","7.4","","3"
"823096","693433","Bryan Woo","2026-08-26","2026-08-26T17:50:16.221Z","Seattle Mariners","Philadelphia Phillies","home","MATCHED","PREGAME_EXPLICIT_ID","24.3","24.3","13.2","27.3","5.2","3.41","3.13","3.19","3.56","5.6","5.6","22.6","89","88","5.2","75","258","10","19.282527059863042","0.715","0.313","0.325","118","20.9","8","5.72","5"
"823096","666200","Jesús Luzardo","2026-08-26","2026-08-26T17:50:16.221Z","Philadelphia Phillies","Seattle Mariners","away","MATCHED","PREGAME_EXPLICIT_ID","30.1","30.1","14.6","32.8","7.3","2.96","2.54","2.95","2.87","8.4","6.7","27.2","103","103","6.2","110","319","5","23.58543365455893","0.687","0.304","0.305","118","20.9","8","7.5","9"
"823110","676106","Emerson Hancock","2026-07-22","2026-07-22T19:27:54.868Z","Seattle Mariners","Cincinnati Reds","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.1","24.1","12","25.3","6.4","3.75","3.27","3.36","4.34","4.2","4.7","19.6","69","65","4.1","19","209","10","23.3","0.708","0.311","0.343","118","28.2","9.2","4.54","3"
"823113","669302","Logan Gilbert","2026-07-19","2026-07-19T19:08:18.913Z","Seattle Mariners","San Francisco Giants","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","26.5","26.5","15.2","30.5","5.3","3.47","2.94","2.91","3.82","7.4","6.9","25.6","96","98","7","96","290","8","19.6","0.729","0.317","0.307","118","20.6","12.6","6.91","10"
"823114","622491","Luis Castillo","2026-07-21","2026-07-21T22:26:36.297Z","Seattle Mariners","Cincinnati Reds","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.8","20.8","12.4","26","7.2","4.26","3.63","3.91","4.56","4.2","5.7","24.2","93","96","6","91","283","11","22.9","0.709","0.311","0.307","118","30.2","6.6","5.41","3"
"823115","682243","Bryce Miller","2026-07-17","2026-07-18T01:36:49.895Z","Seattle Mariners","San Francisco Giants","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","30.2","30.2","16.4","29.3","4.2","3.22","2.5","2.18","2.27","7.2","6.1","23.2","84","86","6.1","81","261","8","19","0.73","0.317","0.324","118","20.8","6.8","6.44","6"
"823117","676106","Emerson Hancock","2026-07-05","2026-07-05T20:12:29.755Z","Seattle Mariners","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.2","24.2","11.7","24.8","6.1","3.86","3.24","3.33","4.48","4.8","5.2","21.8","83","83","5.1","98","233","7","17.8","0.692","0.304","0.298","","21.2","11.3","4.98","5"
"823118","669302","Logan Gilbert","2026-07-04","2026-07-04T19:13:52.994Z","Seattle Mariners","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","27","27","15","30.4","5.6","3.69","2.92","2.89","3.85","7.6","6.3","24","99","97","6.1","103","291","7","20.3","0.697","0.307","0.294","","17.5","3.1","6.74","7"
