game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"824828","2026-06-13","4:05 PM ET","2026-06-13T15:26:04.012Z","A","Baltimore Orioles","San Diego Padres","Oriole Park at Camden Yards","R","MLB_STATS_API_SCHEDULE","","Trey Gibson","","Trey Gibson","","PREGAME_ID_MISSING","false","","Randy Vásquez","","Randy Vásquez","","PREGAME_ID_MISSING","false","false","0"
"824995","2026-06-13","10:05 PM ET","2026-06-14T00:28:31.630Z","A","Athletics","Colorado Rockies","Las Vegas Ballpark","R","MLB_STATS_API_SCHEDULE","","Joey Estes","","Joey Estes","","PREGAME_ID_MISSING","false","","Kyle Freeland","","Kyle Freeland","","PREGAME_ID_MISSING","false","false","0"
"822722","2026-06-14","1:35 PM ET","2026-06-14T17:29:09.101Z","A","Washington Nationals","Seattle Mariners","Nationals Park","R","MLB_STATS_API_SCHEDULE","","PJ Poulin","","PJ Poulin","","PREGAME_ID_MISSING","false","","Emerson Hancock","","Emerson Hancock","","PREGAME_ID_MISSING","false","false","0"
"822801","2026-06-14","1:37 PM ET","2026-06-14T17:29:11.819Z","A","Toronto Blue Jays","New York Yankees","Rogers Centre","R","MLB_STATS_API_SCHEDULE","","Patrick Corbin","","Patrick Corbin","","PREGAME_ID_MISSING","false","","Will Warren","","Will Warren","","PREGAME_ID_MISSING","false","false","0"
"823212","2026-06-14","3:10 PM ET","2026-06-14T18:09:00.920Z","A","San Francisco Giants","Chicago Cubs","Oracle Park","R","MLB_STATS_API_SCHEDULE","","Logan Webb","","Logan Webb","","PREGAME_ID_MISSING","false","","Ryan Rolison","","Ryan Rolison","","PREGAME_ID_MISSING","false","false","0"
"823368","2026-06-14","12:15 PM ET","2026-06-14T15:58:52.154Z","A","Pittsburgh Pirates","Miami Marlins","PNC Park","R","MLB_STATS_API_SCHEDULE","","Paul Skenes","","Paul Skenes","","PREGAME_ID_MISSING","false","","Max Meyer","","Max Meyer","","PREGAME_ID_MISSING","false","false","0"
"823615","2026-06-14","1:40 PM ET","2026-06-14T17:29:18.713Z","A","New York Mets","Atlanta Braves","Citi Field","R","MLB_STATS_API_SCHEDULE","","Freddy Peralta","","Freddy Peralta","","PREGAME_ID_MISSING","false","","Bryce Elder","","Bryce Elder","","PREGAME_ID_MISSING","false","false","0"
"823693","2026-06-14","2:10 PM ET","2026-06-14T18:08:54.703Z","A","Minnesota Twins","St. Louis Cardinals","Target Field","R","MLB_STATS_API_SCHEDULE","","Taj Bradley","","Taj Bradley","","PREGAME_ID_MISSING","false","","Michael McGreevy","","Michael McGreevy","","PREGAME_ID_MISSING","false","false","0"
"823777","2026-06-14","2:10 PM ET","2026-06-14T18:08:57.842Z","A","Milwaukee Brewers","Philadelphia Phillies","American Family Field","R","MLB_STATS_API_SCHEDULE","","Kyle Harrison","","Kyle Harrison","","PREGAME_ID_MISSING","false","","Cristopher Sánchez","","Cristopher Sánchez","","PREGAME_ID_MISSING","false","false","0"
"824021","2026-06-14","4:07 PM ET","2026-06-14T19:13:32.295Z","A","Los Angeles Angels","Tampa Bay Rays","Angel Stadium","R","MLB_STATS_API_SCHEDULE","","Grayson Rodriguez","","Grayson Rodriguez","","PREGAME_ID_MISSING","false","","Casey Legumina","","Casey Legumina","","PREGAME_ID_MISSING","false","false","0"
