game_id,game_date,scheduled_time_et,home_team,away_team,venue,game_status,is_final,game_type,game_type_source,has_any_pregame_snapshot,has_training_pregame_snapshot,has_current_pregame_snapshot,home_pitcher_id,home_pitcher_name,home_actual_k,home_ip,home_bf,home_pitches,home_in_official_training_dataset,away_pitcher_id,away_pitcher_name,away_actual_k,away_ip,away_bf,away_pitches,away_in_official_training_dataset,defendible_training_observation_count,source_record_count
"824496","2026-07-08","7:10 PM ET","Cincinnati Reds","Philadelphia Phillies","Great American Ball Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","695505","Chase Burns","2","5.0","23","106","true","660604","Alan Rangel","5","3.1","16","69","false","1","1"
"824578","2026-07-08","7:40 PM ET","Chicago White Sox","Boston Red Sox","Rate Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663436","Davis Martin","2","4.0","20","84","true","687562","Jake Bennett","4","7.0","25","81","false","1","1"
"824815","2026-07-08","6:35 PM ET","Baltimore Orioles","Chicago Cubs","Oriole Park at Camden Yards","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","665152","Dean Kremer","4","5.0","21","92","true","607067","Colin Rea","2","5.1","22","91","false","1","1"
"822877","2026-07-09","8:05 PM ET","Texas Rangers","Los Angeles Angels","Globe Life Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","543135","Nathan Eovaldi","10","6.0","27","99","false","672282","Reid Detmers","6","4.0","20","82","false","0","1"
"822954","2026-07-09","1:10 PM ET","Tampa Bay Rays","New York Yankees","Tropicana Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","656876","Drew Rasmussen","2","2.1","14","61","true","621112","Paul Blackburn","3","2.0","8","35","false","1","1"
"823034","2026-07-09","7:45 PM ET","St. Louis Cardinals","Milwaukee Brewers","Busch Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669467","Andre Pallante","2","5.0","25","97","true","701656","Logan Henderson","4","5.1","21","76","false","1","1"
"823201","2026-07-09","9:45 PM ET","San Francisco Giants","Colorado Rockies","Oracle Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","687931","Carson Whisenhunt","4","5.2","23","87","false","663372","Ryan Feltner","3","4.1","23","92","false","0","1"
"823277","2026-07-09","9:40 PM ET","San Diego Padres","Arizona Diamondbacks","Petco Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","656288","Griffin Canning","5","4.2","20","74","false","518876","Merrill Kelly","6","7.0","24","94","false","0","1"
"823359","2026-07-09","12:35 PM ET","Pittsburgh Pirates","Atlanta Braves","PNC Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","656605","Mitch Keller","3","3.0","15","72","true","693821","Bryce Elder","3","4.0","20","69","false","1","1"
"823606","2026-07-09","1:10 PM ET","New York Mets","Kansas City Royals","Citi Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","640455","Sean Manaea","6","7.0","26","97","true","608379","Michael Wacha","5","4.2","23","104","false","1","1"
"823683","2026-07-09","1:40 PM ET","Minnesota Twins","Cleveland Guardians","Target Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","641927","Bailey Ober","5","5.0","19","74","true","668909","Gavin Williams","11","7.0","26","103","false","1","1"
"823846","2026-07-09","6:40 PM ET","Miami Marlins","Seattle Mariners","loanDepot park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","676083","Janson Junk","5","5.0","21","79","true","682243","Bryce Miller","3","5.0","28","81","false","1","1"
"824251","2026-07-09","6:40 PM ET","Detroit Tigers","Athletics","Comerica Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","664285","Framber Valdez","9","7.0","26","87","true","660761","José Suarez","2","1.1","4","16","false","1","1"
"824494","2026-07-09","7:10 PM ET","Cincinnati Reds","Philadelphia Phillies","Great American Ball Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","663903","Brady Singer","5","7.1","28","89","true","666200","Jesús Luzardo","11","7.0","26","96","false","1","1"
"824577","2026-07-09","2:10 PM ET","Chicago White Sox","Boston Red Sox","Rate Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","641743","Anthony Kay","4","5.1","22","92","true","663776","Patrick Sandoval","5","4.1","19","65","false","1","1"
"824816","2026-07-09","1:35 PM ET","Baltimore Orioles","Chicago Cubs","Oriole Park at Camden Yards","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669432","Trevor Rogers","4","6.0","23","89","true","656849","David Peterson","2","5.0","20","77","false","1","1"
"822709","2026-07-10","6:45 PM ET","Washington Nationals","New York Yankees","Nationals Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","687223","Carson Palmquist","4","3.0","12","45","true","677960","Ryan Weathers","6","5.1","23","91","false","1","1"
"822878","2026-07-10","8:05 PM ET","Texas Rangers","Houston Astros","Globe Life Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","615698","Cal Quantrill","1","6.0","23","79","false","686613","Hunter Brown","4","6.0","25","98","false","0","1"
"822955","2026-07-10","7:10 PM ET","Tampa Bay Rays","Seattle Mariners","Tropicana Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","607259","Nick Martinez","1","5.1","20","70","true","622491","Luis Castillo","4","5.0","25","91","false","1","1"
"823033","2026-07-10","8:15 PM ET","St. Louis Cardinals","Atlanta Braves","Busch Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","681517","Kyle Leahy","2","3.0","10","44","true","519242","Chris Sale","5","3.0","11","43","false","1","1"
"823200","2026-07-10","10:15 PM ET","San Francisco Giants","Colorado Rockies","Oracle Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","592662","Robbie Ray","4","5.0","23","100","false","685299","Tanner Gordon","1","5.0","23","81","false","0","1"
"823278","2026-07-10","9:40 PM ET","San Diego Padres","Toronto Blue Jays","Petco Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","676664","JP Sears","3","4.1","19","72","false","669456","Shane Bieber","4","4.2","22","97","false","0","1"
"823604","2026-07-10","7:15 PM ET","New York Mets","Boston Red Sox","Citi Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","690997","Nolan McLean","7","6.0","26","98","false","543243","Sonny Gray","3","6.0","23","91","false","0","1"
"823685","2026-07-10","8:10 PM ET","Minnesota Twins","Los Angeles Angels","Target Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","805673","Zebby Matthews","3","6.0","26","102","false","680570","Grayson Rodriguez","0","5.1","23","79","false","0","1"
"823845","2026-07-10","7:10 PM ET","Miami Marlins","Cleveland Guardians","loanDepot park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","645261","Sandy Alcantara","8","7.0","26","99","false","800048","Parker Messick","1","6.0","22","91","false","0","1"
"823927","2026-07-10","10:10 PM ET","Los Angeles Dodgers","Arizona Diamondbacks","UNIQLO Field at Dodger Stadium","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","669165","Kyle Hurt","1","1.2","9","36","false","593958","Eduardo Rodriguez","5","6.0","25","87","false","0","1"
"824252","2026-07-10","6:40 PM ET","Detroit Tigers","Philadelphia Phillies","Comerica Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","656427","Jack Flaherty","6","6.0","24","86","true","605400","Aaron Nola","8","5.0","20","84","false","1","1"
"824493","2026-07-10","7:10 PM ET","Cincinnati Reds","Chicago Cubs","Great American Ball Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","668881","Hunter Greene","12","7.0","25","93","true","684007","Shota Imanaga","5","5.0","23","102","false","1","1"
"824575","2026-07-10","7:40 PM ET","Chicago White Sox","Athletics","Rate Field","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","680732","Sean Burke","9","7.0","24","98","true","682052","Jacob Lopez","1","1.2","5","12","false","1","1"
"824817","2026-07-10","7:05 PM ET","Baltimore Orioles","Kansas City Royals","Oriole Park at Camden Yards","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","687064","Brandon Young","5","7.0","27","85","true","679883","Luinder Avila","3","5.0","24","96","false","1","1"
"822711","2026-07-11","4:05 PM ET","Washington Nationals","New York Yankees","Nationals Park","Final","true","R","MLB_STATS_API_SCHEDULE","true","true","false","676571","PJ Poulin","3","1.2","7","31","false","693645","Cam Schlittler","6","6.2","27","99","false","0","1"
