game_id,game_date,snapshot_captured_at,pregame_side,pregame_pitcher_name,pregame_pitcher_id,pregame_identity_source,final_side,final_pitcher_name,final_pitcher_id,final_identity_source,match_status,actual_k,scheduled_start,minutes_before_start,reason
"823777","2026-06-14","2026-06-14T18:08:57.842Z","away","Cristopher Sánchez","","","away","Cristopher Sánchez","","","UNRESOLVED_PREGAME_ID","","2026-06-14T18:10:00.000Z","1.035967","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823778","2026-06-12","2026-06-12T23:38:30.396Z","home","Jacob Misiorowski","","","home","Jacob Misiorowski","","","UNRESOLVED_PREGAME_ID","","2026-06-12T23:40:00.000Z","1.4934","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823778","2026-06-12","2026-06-12T23:38:30.396Z","away","Tanner Banks","","","away","Tanner Banks","","","UNRESOLVED_PREGAME_ID","","2026-06-12T23:40:00.000Z","1.4934","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823826","2026-08-25","2026-08-25T13:35:36.939Z","away","Payton Tolle","","","away","Payton Tolle","801139","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-25T22:40:00.000Z","544.38435","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823837","2026-07-29","2026-07-29T14:56:27.140Z","home","Ryan Gusto","687473","PREGAME_LINESCORE_DEFENSE_ID","home","Ryan Gusto","687473","FINAL_PITCHERS_ID","MATCHED","3","2026-07-29T16:10:00.000Z","73.547667","game_id y pitcher_id coinciden; actual_k final válido"
"823837","2026-07-29","2026-07-29T14:56:27.140Z","away","Jesús Luzardo","","","away","Jesús Luzardo","666200","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-29T16:10:00.000Z","73.547667","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823839","2026-07-27","2026-07-27T13:37:11.393Z","home","Tyler Phillips","","","home","Tyler Phillips","663969","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-27T22:40:00.000Z","542.810117","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823839","2026-07-27","2026-07-27T13:37:11.393Z","away","Zack Wheeler","","","away","Zack Wheeler","554430","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-27T22:40:00.000Z","542.810117","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823841","2026-07-25","2026-07-25T13:36:11.518Z","home","Eury Pérez","","","home","Eury Pérez","691587","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-25T20:10:00.000Z","393.808033","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"823841","2026-07-25","2026-07-25T13:36:11.518Z","away","JP Sears","","","away","Randy Vásquez","681190","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-25T20:10:00.000Z","393.808033","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
