game_id,pitcher_id,game_date,cause,evidence,stored_last3Ks1,reconstructed_last3Ks1
824680,687075,2026-05-18,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823801,6.0,5.0
824357,669022,2026-05-18,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823150,5.0,3.0
824357,669022,2026-05-18,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823150,5.0,3.0
824357,669022,2026-05-18,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823150,5.0,3.0
823379,677952,2026-05-26,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823384,5.0,9.0
823379,677952,2026-05-26,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823384,5.0,9.0
823379,677952,2026-05-26,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823384,5.0,9.0
823711,657746,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823720,6.0,5.0
823711,657746,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823720,6.0,5.0
823711,657746,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823720,6.0,5.0
824769,624133,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,10.0,4.0
824769,624133,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,10.0,4.0
823387,677952,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823396,7.0,5.0
823387,677952,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823396,7.0,5.0
823387,677952,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823396,7.0,5.0
823387,695505,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822917,9.0,8.0
823387,695505,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822917,9.0,8.0
823387,695505,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 822917,9.0,8.0
823555,608331,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,5.0,9.0
823555,608331,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,5.0,9.0
822987,571927,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823079,2.0,4.0
822987,571927,2026-05-03,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823079,2.0,4.0
822987,571927,2026-05-03,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823079,2.0,4.0
822987,641816,2026-05-03,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,3.0,5.0
822987,641816,2026-05-03,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,3.0,5.0
