scenario,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_value,absolute_difference,relative_difference,exact_match,material_difference,history_count,history_game_ids,target_game_excluded,future_games_excluded,target_stats_used,target_identity_source
A_STRICT,823238,657277,2026-04-05,home,last5IpAvg,5.5,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last5BfAvg,25.5,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last5PitchCountAvg,95.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,pitchesLast3Starts,190.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last3Ks1,5.0,5.0,0.0,0.0,True,False,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last3Ks2,7.0,7.0,0.0,0.0,True,False,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last3Ks3,,3.0,,,False,False,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last5KsAvg,6.0,4.5,1.5,0.25,False,True,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last5KsStd,1.0,1.66,0.6599999999999999,0.6599999999999999,False,False,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last5IpAvg,5.5,4.6,0.9000000000000004,0.1636363636363637,False,False,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last5BfAvg,25.5,20.8,4.699999999999999,0.18431372549019606,False,True,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,last5PitchCountAvg,95.0,79.0,16.0,0.16842105263157894,False,True,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823238,657277,2026-04-05,home,pitchesLast3Starts,190.0,276.0,86.0,0.45263157894736844,False,True,4,823322|823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last3Ks1,3.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last3Ks2,5.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last3Ks3,7.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last5KsAvg,5.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last5KsStd,1.63,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last5IpAvg,6.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last5BfAvg,26.3,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,last5PitchCountAvg,94.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,824857,657277,2026-04-11,away,pitchesLast3Starts,282.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
