target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822707","2026-07-24","home","687223","last5StartsKsStd","last5KsStd","0.71","0.7071067811865476","0.0028932188134523917","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5StartsIpAvg","last5IpAvg","2.3","2.25","0.04999999999999982","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5StartsBfAvg","last5BfAvg","10.8","10.75","0.05000000000000071","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5StartsPitchCountAvg","last5PitchCountAvg","44","44","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","pitchesLastStart","pitchesLastStart","36","36","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","pitchesLast3Starts","pitchesLast3Starts","88","118","30","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","daysSinceLastStart","daysSinceLastStart","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesKs1","last3Ks1","2","2","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesKs2","last3Ks2","4","1","3","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesKs3","last3Ks3","3","4","1","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesIp1","last3Ip1","1.7","1.6666666666666667","0.033333333333333215","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesIp2","last3Ip2","3","0.3333333333333333","2.6666666666666665","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesIp3","last3Ip3","1","3","2","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesBf1","last3Bf1","11","11","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesBf2","last3Bf2","12","3","9","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3AppearancesBf3","last3Bf3","8","12","4","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5AppearancesKsAvg","last5KsAvg","3","2","1","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5AppearancesKsStd","last5KsStd","0.71","1.4142135623730951","0.7042135623730952","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5AppearancesIpAvg","last5IpAvg","2.3","1.4","0.8999999999999999","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5AppearancesBfAvg","last5BfAvg","10.8","7.4","3.4000000000000004","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5AppearancesPitchCountAvg","last5PitchCountAvg","44","28.2","15.8","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsKs1","last3Ks1","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsKs2","last3Ks2","13","7","6","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsKs3","last3Ks3","7","1","6","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsIp1","last3Ip1","2.3","2.3333333333333335","0.03333333333333366","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsIp2","last3Ip2","7","6","1","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsIp3","last3Ip3","6","2.6666666666666665","3.3333333333333335","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsBf1","last3Bf1","15","15","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsBf2","last3Bf2","23","25","2","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3StartsBf3","last3Bf3","25","16","9","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5StartsKsAvg","last5KsAvg","5.8","3.8","2","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5StartsKsStd","last5KsStd","4.12","2.3151673805580453","1.8048326194419548","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5StartsIpAvg","last5IpAvg","4.6","4.2","0.39999999999999947","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5StartsBfAvg","last5BfAvg","19.8","20.2","0.3999999999999986","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5StartsPitchCountAvg","last5PitchCountAvg","82","81","1","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","pitchesLastStart","pitchesLastStart","63","63","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","pitchesLast3Starts","pitchesLast3Starts","260","228","32","false","true","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","daysSinceLastStart","daysSinceLastStart","7","7","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesKs1","last3Ks1","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesKs2","last3Ks2","13","13","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesKs3","last3Ks3","7","7","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesIp1","last3Ip1","2.3","2.3333333333333335","0.03333333333333366","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesIp2","last3Ip2","7","7","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesIp3","last3Ip3","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesBf1","last3Bf1","15","15","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesBf2","last3Bf2","23","23","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last3AppearancesBf3","last3Bf3","25","25","0","true","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5AppearancesKsAvg","last5KsAvg","5.8","5.2","0.5999999999999996","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5AppearancesKsStd","last5KsStd","4.12","4.3999999999999995","0.27999999999999936","false","false","UNKNOWN","DATE_ONLY"
"822708","2026-07-12","home","676917","last5AppearancesIpAvg","last5IpAvg","4.6","4.6","0","true","false","UNKNOWN","DATE_ONLY"
