row_type,model,game_id,pitcher_id,game_date,side,eligible_baseline,eligible_dynamic_starts,eligible_dynamic_appearances,eligible_hybrid,eligible_all,required_features,eligible_total,coverage_pct,eligible_train,eligible_validation,common_primary_total,common_primary_train,common_primary_validation
"TARGET_ELIGIBILITY","","823283","606996","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823284","676664","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823285","621111","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823286","593974","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823351","683003","2026-07-29","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823359","656605","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823360","683003","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823361","694973","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823362","656605","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823363","694973","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823365","656605","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823366","696149","2026-06-25","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823367","677952","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823434","666200","2026-07-24","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823525","677960","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823526","694341","2026-07-04","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823527","543037","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823529","677960","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823530","701542","2026-07-01","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823596","640455","2026-07-29","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823605","681035","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823606","640455","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823607","672335","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823608","672335","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823610","804267","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823614","673540","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823681","671737","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823682","657746","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823683","641927","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823686","687570","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823687","671737","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823688","671737","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823689","702474","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823690","696070","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823691","657746","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823759","675660","2026-07-24","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823760","687075","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823761","701656","2026-07-22","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823764","688107","2026-07-19","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823765","694819","2026-07-02","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823766","701656","2026-07-17","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823769","605540","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823770","690986","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823771","688107","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823773","694819","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823837","687473","2026-07-29","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823842","663969","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823843","687473","2026-07-24","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823846","676083","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823847","676974","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823848","663969","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823849","645261","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823850","691587","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823925","686218","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823926","808967","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823928","808963","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823929","680736","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823930","641778","2026-07-06","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823931","686218","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823932","808967","2026-07-04","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823933","660271","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823988","680570","2026-08-26","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823988","676282","2026-08-26","away","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824004","672282","2026-07-22","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824005","700712","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824007","696270","2026-07-19","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824009","672282","2026-07-17","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824010","696270","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824011","691951","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824012","691951","2026-07-04","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824013","672282","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824014","700712","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824015","672282","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824017","696270","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824018","667755","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824083","607625","2026-07-22","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824085","679883","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824086","702070","2026-07-19","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824089","702070","2026-07-06","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824090","607625","2026-07-17","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824091","679883","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824093","663568","2026-07-02","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824165","837227","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824168","686613","2026-07-19","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824170","663567","2026-07-17","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824172","663567","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824173","681293","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824176","663567","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824248","669373","2026-07-24","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824249","663554","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824250","669373","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824251","664285","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824252","656427","2026-07-10","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824253","675512","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824254","669373","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824255","672456","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824256","656427","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824257","664285","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824259","669373","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824262","663554","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824327","687312","2026-07-22","home","true","false","true","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824329","547179","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824330","663372","2026-07-19","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824332","687312","2026-07-17","home","true","false","true","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824333","685299","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824335","547179","2026-07-02","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824336","663372","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824339","807743","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824340","807743","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824341","607536","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824406","668909","2026-07-23","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824408","677944","2026-07-22","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824409","800048","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824416","677944","2026-07-02","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824417","668909","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824419","676282","2026-07-01","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824420","800048","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824421","677944","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824422","668909","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824423","676282","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824491","671096","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824492","666157","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824493","668881","2026-07-10","home","true","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824494","663903","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824495","671096","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824496","695505","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824498","663903","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824500","695076","2026-06-24","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824501","666157","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824574","702273","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824575","680732","2026-07-10","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824576","663542","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824577","641743","2026-07-09","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824578","663436","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824579","702273","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824580","641743","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824581","663436","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824582","689818","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824584","680732","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","824652","656849","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","824653","684007","2026-07-19","home","true","true","true","true","true","","","","","","","",""
