scenario,definition,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_clean,reconstructed_historical_formula,absolute_error,exact_match,material_difference,target_game_excluded,future_games_excluded,target_actual_k_used,target_boxscore_used
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip1","1.7","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip2","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip3","1","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf1","11","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf2","12","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf3","8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last5KsAvg","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last5KsStd","0.71","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last5IpAvg","2.3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last5BfAvg","10.8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last5PitchCountAvg","44","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","pitchesLast3Starts","88","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","daysSinceLastStart","3","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ks1","2","2","2","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ip1","1.7","1.6666666666666667","1.6666666666666667","0.033333333333333215","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Bf1","11","11","11","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ks2","4","1","1","3","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ip2","3","0.3333333333333333","0.3333333333333333","2.6666666666666665","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Bf2","12","3","3","9","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ks3","3","4","4","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Ip3","1","3","3","2","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822707","687223","2026-07-24","home","last3Bf3","8","12","12","4","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks1","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks2","13","7","7","6","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks3","7","1","1","6","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip1","2.3","2.3333333333333335","2.3333333333333335","0.03333333333333366","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip2","7","6","6","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip3","6","2.6666666666666665","2.6666666666666665","3.3333333333333335","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf1","15","15","15","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf2","23","25","25","2","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf3","25","16","16","9","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last5KsAvg","5.8","3.8","3.8","2","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last5KsStd","4.12","2.3151673805580453","2.32","1.8048326194419548","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last5IpAvg","4.6","4.2","4.2","0.39999999999999947","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last5BfAvg","19.8","20.2","20.2","0.3999999999999986","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","last5PitchCountAvg","82","81","81","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","pitchesLast3Starts","260","228","228","32","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822708","676917","2026-07-12","home","daysSinceLastStart","7","7","7","0","true","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks1","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks2","13","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ks3","7","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip1","2.3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip2","7","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Ip3","6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf1","15","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf2","23","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last3Bf3","25","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last5KsAvg","5.8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last5KsStd","4.12","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last5IpAvg","4.6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last5BfAvg","19.8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","last5PitchCountAvg","82","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","pitchesLast3Starts","260","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822708","676917","2026-07-12","home","daysSinceLastStart","7","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ks1","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ip1","2.3","2.3333333333333335","2.3333333333333335","0.03333333333333366","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Bf1","15","15","15","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ks2","13","13","13","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ip2","7","7","7","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Bf2","23","23","23","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ks3","7","7","7","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Ip3","6","6","6","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822708","676917","2026-07-12","home","last3Bf3","25","25","25","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks1","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks2","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ks3","","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822709","687223","2026-07-10","home","last3Ip1","1","1","1","0","true","false","true","true","false","false"
